,Front,Left,Right,Close,Back
F00000,0.0,0.0,0.0,0.0,0.0
L00000,0.0,0.0,0.0,0.0,0.0
R00000,0.0,0.0,0.0,0.0,0.0
C00000,0.0,0.0,0.0,0.0,0.0
B00000,0.0,0.0,0.0,0.0,0.0
F00001,0.0,0.0,0.0,0.0,0.0
L00001,0.0,0.0,0.0,0.0,0.0
R00001,0.0,0.0,0.0,0.0,0.0
C00001,0.0,0.0,0.0,0.0,0.0
B00001,0.0,0.0,0.0,0.0,0.0
F00010,0.0,0.0,0.0,0.0,0.0
L00010,0.0,0.0,0.0,0.0,0.0
R00010,-1.9403570736609694,-0.37886668025020176,-1.1983808246980892,-2.136212713583021,-0.3641910180139508
C00010,0.0,0.0,0.0,0.0,0.0
B00010,0.0,0.0,0.0,0.0,0.0
F00011,0.1650785528253679,0.15239000809061853,0.07691864593795808,0.17691864593795809,0.12595748155029063
L00011,-1.778931142044948,-1.0883768918968382,-1.8592906663764324,-0.9698207725232828,-0.059639941885713144
R00011,-0.8691374999999999,0.081450625,-0.4074934182625435,-0.474978582702998,-0.6378757082176503
C00011,0.0,0.0,0.0,0.0,0.0
B00011,0.0,0.0,0.0,0.0,0.0
F00100,0.0,0.0,0.0,0.0,0.0
L00100,-0.11239302300179488,-0.7310401391580272,-0.11655057370275301,-0.04132016005411834,0.06167431090481446
R00100,0.0,0.0,0.0,0.0,0.0
C00100,0.0,0.0,0.0,0.0,0.0
B00100,0.0,0.0,0.0,0.0,0.0
F00101,0.0,0.0,0.0,0.0,0.0
L00101,0.0,0.0,0.0,0.0,0.0
R00101,0.0,0.0,0.0,0.0,0.0
C00101,0.0,0.0,0.0,0.0,0.0
B00101,0.0,0.0,0.0,0.0,0.0
F00110,0.0,0.0,0.0,0.0,0.0
L00110,-1.1710720920071793,-1.0,0.0,-1.1544054253405127,0.0
R00110,-2.7173351980355505,-1.602433561986437,-1.5542354093797879,-2.121287419874233,-0.5541368552667221
C00110,0.0,0.0,0.0,0.0,0.0
B00110,0.0,0.0,0.0,0.0,0.0
F00111,0.19106481624112243,0.25347101866471505,0.12836250000000002,0.12836250000000002,0.3213805583368554
L00111,-1.7121368612661747,0.06525000000000002,-1.1521249999999998,-0.3847499999999999,0.13775000000000004
R00111,-0.6620489731204494,-0.01459211059694851,-0.5074558539878722,-0.4634939307713096,-0.4894468953407616
C00111,0.0,0.0,0.0,0.0,0.0
B00111,0.0,0.0,0.0,0.0,0.0
F01000,0.0,0.0,0.0,0.0,0.0
L01000,0.1,0.0,0.0,0.0,0.0
R01000,0.0,0.0,-0.09018778759564756,0.0,-0.169264464080184
C01000,0.0,0.0,0.0,0.0,0.0
B01000,0.0,0.0,0.0,0.0,0.0
F01001,0.0,0.0,0.0,0.0,0.0
L01001,0.0,0.0,0.0,0.0,0.0
R01001,0.0,0.0,0.0,0.0,0.0
C01001,0.0,0.0,0.0,0.0,0.0
B01001,0.0,0.0,0.0,0.0,0.0
F01010,0.0,0.0,0.0,0.0,0.0
L01010,0.0,0.13054048714805072,0.0,0.0,0.0
R01010,0.0,0.0,0.0,0.0,0.0
C01010,0.0,0.0,0.0,0.0,0.0
B01010,0.0,0.0,0.0,0.0,0.0
F01011,0.0,0.0,0.0,0.0,0.0
L01011,0.0,0.0,0.0,0.0,0.0
R01011,0.0,0.0,0.0,0.0,0.0
C01011,0.0,0.0,0.0,0.0,0.0
B01011,0.0,0.0,0.0,0.0,0.0
F01100,0.0,0.0,0.0,0.0,0.0
L01100,-0.4750686522068942,-1.051754924516128,-1.4766133768230412,-1.2303510979175387,-0.20843620913604363
R01100,-0.44015886225201195,-1.9764816533206238,-1.522855864614197,-2.3185945567367625,-0.019007450205584905
C01100,0.0,0.0,0.0,0.0,0.0
B01100,0.0,0.0,0.0,0.0,0.0
F01101,0.0,0.0,0.0,0.0,0.0
L01101,0.0,0.0,0.0,0.0,0.0
R01101,0.0,0.0,0.0,0.0,0.0
C01101,0.0,0.0,0.0,0.0,0.0
B01101,0.0,0.0,0.0,0.0,0.0
F01110,0.0,0.0,0.0,0.0,0.0
L01110,-0.8478068458108101,0.134771351440673,-0.3477275761714832,0.13402630126930543,-0.2976441479424959
R01110,-0.15303764229162437,0.11525000000000002,0.0,0.0,0.14500000000000002
C01110,0.0,0.0,0.0,0.0,0.0
B01110,0.0,0.0,0.0,0.0,0.0
F01111,0.0,0.0,0.0,0.0,0.0
L01111,-0.05986245446260091,0.12072066795074578,-0.07988325565955956,0.019557171558894984,0.04886825820645138
R01111,-0.7863357563845974,-0.9471994192259865,-0.5448069689707633,-0.6312224792142087,-0.46468055446696505
C01111,0.0,0.0,0.0,0.0,0.0
B01111,0.0,0.0,0.0,0.0,0.0
F10000,0.0,0.0,0.0,0.0,0.0
L10000,0.0,0.0,0.0,0.0,0.0
R10000,0.019167826689394686,0.08775000000000001,0.13551400966748087,0.195,0.0
C10000,0.0,0.0,0.0,0.0,0.0
B10000,0.0,0.0,0.0,0.0,0.0
F10001,0.0,0.0,0.0,0.0,0.0
L10001,0.0,0.0,0.0,0.0,0.0
R10001,0.027110416597348353,-0.15530984648450372,-0.09399220075767964,-0.040348682085120435,-0.03422882859803487
C10001,0.0,0.0,0.0,0.0,0.0
B10001,0.0,0.0,0.0,0.0,0.0
F10010,0.0,0.0,0.0,0.0,0.0
L10010,0.0,0.0,0.0,0.0,0.0
R10010,0.0,0.0,0.0,0.0,0.0
C10010,0.0,0.0,0.0,0.0,0.0
B10010,0.0,0.0,0.0,0.0,0.0
F10011,0.0,0.05614709539115585,0.0,-0.03069276170068111,-0.04813923849713195
L10011,0.0,0.0,0.0,0.0,0.0
R10011,-1.1395421875,-0.052914983922903336,0.06720121408476737,0.07875000000000001,0.04789565852921181
C10011,0.0,0.0,0.0,0.0,0.0
B10011,0.0,0.0,0.0,0.0,0.0
F10100,0.0,0.0,0.0,0.0,0.0
L10100,0.0,0.0,0.0,0.0,0.0
R10100,0.0,0.1,0.0,0.0,0.0
C10100,0.0,0.0,0.0,0.0,0.0
B10100,0.0,0.0,0.0,0.0,0.0
F10101,0.045000000000000005,0.0,0.0,0.0,0.1
L10101,0.0,0.0,0.0,0.0,0.0
R10101,-0.3507377770396984,-0.10982113023404735,0.0,-0.06569918100886882,0.1
C10101,0.0,0.0,0.0,0.0,0.0
B10101,0.0,0.0,0.0,0.0,0.0
F10110,0.0,0.0,0.0,0.0,0.0
L10110,0.0,0.0,0.0,0.0,0.0
R10110,0.0,0.0,0.0,0.0,0.0
C10110,0.0,0.0,0.0,0.0,0.0
B10110,0.0,0.0,0.0,0.0,0.0
F10111,0.0,0.0,0.0,0.0,0.0
L10111,-0.44068756899132877,0.0,0.0,0.0,0.0
R10111,0.16525,0.045000000000000005,0.1,0.14500000000000002,0.0
C10111,0.0,0.0,0.0,0.0,0.0
B10111,0.0,0.0,0.0,0.0,0.0
F11000,0.0,0.0,0.0,0.0,0.0
L11000,0.2641013359296286,0.28073750000000003,0.08561250000000002,0.1856125,0.3028070189972336
R11000,0.339855645994352,0.08252836685160354,0.27428652320842417,0.3347180827978011,0.3022692063608394
C11000,0.0,0.0,0.0,0.0,0.0
B11000,0.0,0.0,0.0,0.0,0.0
F11001,0.0,0.0,0.0,0.0,0.0
L11001,0.0,-0.2945113220885386,0.0,0.0,0.0
R11001,0.0,0.0,0.0,0.0,0.0
C11001,0.0,0.0,0.0,0.0,0.0
B11001,0.0,0.0,0.0,0.0,0.0
F11010,0.0,0.0,0.0,0.0,0.0
L11010,-0.07967686524644077,0.22266000181034773,0.13135641115123764,0.25171385988791867,0.20522484832188692
R11010,0.0,0.0,0.0,0.0,0.0
C11010,0.0,0.0,0.0,0.0,0.0
B11010,0.0,0.0,0.0,0.0,0.0
F11011,0.0,0.0,0.0,0.0,0.0
L11011,0.24695723057942268,0.18797116925880109,0.1,0.2249567699628524,-0.026439462286405258
R11011,0.0,0.0,0.0,0.0,0.0
C11011,0.0,0.0,0.0,0.0,0.0
B11011,0.0,0.0,0.0,0.0,0.0
F11100,0.045000000000000005,0.04336697120104763,0.046503608347936556,0.04437848978743557,0.03617604584572581
L11100,-0.19494702699073535,-0.3354058378530019,-0.24483695212562753,0.17920298324940387,-0.0038599405706204737
R11100,0.08885131240281785,0.39159350077848076,0.2975587562568797,-0.8101055312777283,0.07166714724377898
C11100,0.0,0.0,0.0,0.0,0.0
B11100,0.0,0.0,0.0,0.0,0.0
F11101,0.045000000000000005,-0.026820669713787333,0.1,-0.013836358068397413,-0.008824821077820162
L11101,0.0,0.0,0.0,0.0,0.0
R11101,0.2070058025588645,-0.07100222492452297,0.12495327881344764,0.15622897546605144,-0.03173000941949597
C11101,0.0,0.0,0.0,0.0,0.0
B11101,0.0,0.0,0.0,0.0,0.0
F11110,0.0,0.0,0.0,0.0,0.0
L11110,0.0,0.0,-1.4227879404171815,0.0,0.0
R11110,0.0,0.0,0.0,0.0,0.0
C11110,0.0,0.0,0.0,0.0,0.0
B11110,0.0,0.0,0.0,0.0,0.0
F11111,0.0,0.0,0.0,0.0,0.0
L11111,0.1117375,0.0,0.0,0.0,0.14275000000000002
R11111,-0.4432572067673687,0.1518625,-0.2546034785606619,0.10857019505615034,0.11525000000000002
C11111,0.0,0.0,0.0,0.0,0.0
B11111,0.0,0.0,0.0,0.0,0.0
